,TOTAL COST TO HOSPITAL
0,660293.0
1,809130.0
2,362231.0
3,629990.0
4,444876.0
5,372357.0
6,887350.0
7,389827.0
8,437529.07
9,364222.0
10,514524.0
11,539976.0
12,711616.0
13,420040.0
14,495968.7
15,157763.0
16,501897.0
17,343984.0
18,449395.0
19,214716.0
20,341109.0
21,288960.0
22,348687.0
23,345590.0
24,361738.0
25,305193.0
26,404644.0
27,278213.73
28,355276.0
29,229289.0
30,247473.0
31,395163.0
32,418429.0
33,359280.0
34,349318.0
35,551809.0
36,293127.0
37,260036.0
38,163765.0
39,162364.0
40,144037.23
41,183204.0
42,164962.0
43,178100.0
44,169726.43
45,164719.0
46,133130.0
47,146308.6
48,134497.65
49,206500.95
50,120131.0
51,176340.75
52,138923.0
53,162957.32
54,133009.0
55,163483.0
56,131837.0
57,163372.0
58,128104.37
59,115908.0
60,129474.64
61,152184.0
62,122892.0
63,124804.0
64,142552.0
65,128196.0
66,109085.84
67,109452.0
68,125643.0
69,120064.0
70,114580.0
71,119935.36
72,129474.64
73,152184.0
74,122892.0
75,128196.0
76,109085.84
77,125643.0
78,120064.0
79,114580.0
80,119935.36
81,199268.0
82,341011.0
83,334955.0
84,258138.0
85,275888.0
86,308817.0
87,294615.9
88,156576.85
89,109575.6
90,209292.0
91,195136.0
92,265243.0
93,201219.0
94,179720.0
95,143278.83000000002
96,214679.0
97,165000.0
98,262582.0
99,208535.71
100,179613.25
101,151156.52000000002
102,189701.55
103,169951.0
104,220519.0
105,139723.0
106,119685.64
107,253471.0
108,129684.0
109,167122.0
110,276458.0
111,150337.0
112,138093.02000000002
113,178398.0
114,180870.0
115,182651.0
116,323960.0
117,131430.0
118,180415.67
119,139067.0
120,197865.0
121,144900.3
122,202633.9
123,232676.0
124,127899.0
125,145362.0
126,165335.52000000002
127,233266.0
128,135216.0
129,117185.0
130,108989.0
131,148652.0
132,79302.0
133,147132.0
134,131738.27000000002
135,146355.0
136,97060.8
137,84002.5
138,106070.0
139,123187.9
140,120367.81
141,140372.0
142,102852.0
143,154669.0
144,115935.54
145,113706.2
146,138769.38
147,61340.0
148,72374.0
149,143773.58000000002
150,142326.04
151,140545.0
152,57140.85
153,131727.0
154,55885.7
155,49700.0
156,155352.0
157,288614.2
158,170302.0
159,141232.16999999998
160,102537.85
161,219126.24
162,204852.36
163,253368.0
164,162271.0
165,293271.0
166,162957.0
167,137273.0
168,199677.0
169,161017.0
170,199790.0
171,159882.0
172,180728.0
173,144134.0
174,160250.0
175,193543.0
176,233376.0
177,166709.0
178,133873.0
179,133087.0
180,178428.0
181,191102.0
182,168670.0
183,163914.0
184,241130.0
185,138535.0
186,119348.0
187,154354.0
188,119877.0
189,135019.0
190,176383.0
191,233522.0
192,132585.0
193,119776.0
194,109117.0
195,174074.0
196,58943.0
197,136040.0
198,78215.0
199,73218.0
200,51009.0
201,210622.0
202,260869.0
203,48156.0
204,69509.0
205,46093.0
206,188824.0
207,143482.0
208,220899.0
209,151931.0
210,156374.0
211,238320.0
212,205998.0
213,78251.0
214,175576.0
215,177874.0
216,144731.0
217,178037.0
218,114513.0
219,212287.0
220,145697.0
221,146700.0
222,133436.0
223,147021.0
224,149462.0
225,186450.0
226,180713.0
227,135612.0
228,209886.0
229,123320.0
230,132997.0
231,124860.0
232,118607.0
233,248031.0
234,73682.0
235,295155.0
236,200321.0
237,191188.0
238,202807.0
239,248112.0
